idcode,age,race,married,collgrad,south,industry,occupation,union,wage,hours,nevermarried,yrschool,metro,ccity,currexp,prevexp,everworked,uniondues,marriedyrs,unempins,numkids,kidage1,kidage2,kidage3,grade,grade4,wage2,fwt,networth
5159,38,2,0,0,1,11,3,1,7.15781,38,0,12,1,1,3,6,1,29,0,0,2,7,5,,8,1,7.16,7,157.8097
5157,24,2,1,0,1,11,8,0,2.447664,35,0,12,0,0,7,0,1,0,0,0,0,,,,12,2,2.45,8,-4552.336
5156,26,1,1,0,1,8,3,0,3.824476,40,0,12,0,0,6,6,1,0,3,31,0,,,,11,3,3.82,4,-3175.523
5154,32,1,1,1,1,11,1,0,14.32367,40,0,16,1,0,9,0,1,0,2,0,1,7,,,16,4,14.32,4,7323.667
5153,35,1,0,0,1,11,8,,5.517124,35,1,12,1,0,2,10,1,14,0,0,2,20,13,,12,2,5.52,8,-1482.876
5152,35,1,1,0,1,11,3,1,5.032206,40,0,13,0,0,7,8,1,12,4,0,3,9,9,4,13,3,5.03,1,-1967.794
5148,32,1,1,0,1,11,3,0,4.251207,35,0,12,0,0,1,9,1,0,2,0,2,9,7,,12,2,4.25,0,-2748.793
5143,38,2,1,0,1,9,6,0,2.801002,36,0,12,1,0,0,1,1,0,1,0,0,,,,12,2,2.8,5,-4198.998
5134,40,2,0,1,0,11,13,1,15.04025,35,0,17,1,1,0,0,0,2,0,0,3,6,2,1,17,4,15.04,8,8040.252
5128,28,1,1,1,1,11,1,0,13.28503,40,0,16,0,0,10,1,1,0,7,0,2,7,5,,16,4,13.29,9,6285.025
5127,28,2,1,0,1,4,6,1,4.750401,38,0,8,0,0,1,10,1,15,9,0,2,16,12,,7,1,4.75,2,-2249.599
5120,35,1,1,0,1,11,8,0,2.58454,35,0,10,0,0,1,3,1,0,7,0,2,10,10,,10,1,2.58,6,-4415.459
5118,38,1,1,0,1,6,4,0,4.025765,40,0,12,0,0,4,4,1,0,10,0,0,,,,12,2,4.03,3,-2974.235
5117,26,1,1,0,1,2,1,0,9.677936,40,0,12,1,0,2,7,1,0,10,0,3,4,4,2,12,2,9.68,6,2677.936
5115,24,2,0,0,1,4,6,0,4.710144,40,0,12,0,0,7,0,1,0,0,0,1,6,,,12,2,4.71,4,-2289.856
5114,32,2,0,0,1,4,3,0,4.710144,40,0,12,0,0,9,2,1,0,0,0,1,14,,,12,2,4.71,5,-2289.856
5113,40,1,1,1,1,11,13,0,7.568433,45,0,18,1,0,0,0,0,0,3,0,2,10,4,,18,4,7.57,0,568.4333
5112,43,1,0,1,1,11,8,0,2.479871,60,1,18,0,0,2,14,1,0,0,0,3,11,7,6,18,4,2.48,4,-4520.129
5111,35,2,1,0,1,11,8,,5.283381,,0,9,0,0,1,5,1,28,10,0,0,,,,9,1,5.28,4,-1716.619
5109,30,2,1,0,1,4,6,,2.938808,40,0,12,0,0,0,5,1,22,4,0,2,8,7,,12,2,2.94,3,-4061.192
5108,30,2,1,0,0,12,3,0,6.578098,40,0,12,0,0,6,6,1,0,3,0,3,13,7,7,12,2,6.58,1,-421.9017
5106,32,2,1,0,1,11,8,0,2.222221,48,0,10,0,0,1,3,1,0,7,0,1,6,,,10,1,2.22,7,-4777.779
5104,28,2,0,0,1,9,6,0,3.623188,40,0,12,1,1,2,7,1,0,0,0,0,,,,12,2,3.62,2,-3376.812
